Scenario;Metamodel;Metric;Value
ParticipantAssociation;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ParticipantAssociation;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454603
ParticipantAssociation;org.eclipse.bpmn2;inter module coupling;52.4244287800409
ParticipantAssociation;org.eclipse.bpmn2;graph cohesion;0.008805468347394587
ParticipantAssociation;mbpmn;number of modules;12
ParticipantAssociation;mbpmn;number of nodes;46
ParticipantAssociation;mbpmn;number of edges;94
ParticipantAssociation;mbpmn;hypergraph size;262.49323753389433
ParticipantAssociation;mbpmn;hypergraph complexity;452.3446176302516
ParticipantAssociation;mbpmn;inter module coupling;146.2825799334916
ParticipantAssociation;mbpmn;graph cohesion;0.03829471078357826
PotentialOwner;org.eclipse.bpmn2;number of modules;5
PotentialOwner;org.eclipse.bpmn2;number of nodes;176
PotentialOwner;org.eclipse.bpmn2;number of edges;458
PotentialOwner;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
PotentialOwner;org.eclipse.bpmn2;hypergraph complexity;2039.001673745459
PotentialOwner;org.eclipse.bpmn2;inter module coupling;52.42442878004087
PotentialOwner;org.eclipse.bpmn2;graph cohesion;0.008805468347394587
PotentialOwner;mbpmn;number of modules;9
PotentialOwner;mbpmn;number of nodes;35
PotentialOwner;mbpmn;number of edges;62
PotentialOwner;mbpmn;hypergraph size;187.5403211626422
PotentialOwner;mbpmn;hypergraph complexity;274.8464783411496
PotentialOwner;mbpmn;inter module coupling;50.9121626734339
PotentialOwner;mbpmn;graph cohesion;0.04310390374238387
Relationship;org.eclipse.bpmn2;number of modules;5
Relationship;org.eclipse.bpmn2;number of nodes;176
Relationship;org.eclipse.bpmn2;number of edges;458
Relationship;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
Relationship;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
Relationship;org.eclipse.bpmn2;inter module coupling;52.42442878004087
Relationship;org.eclipse.bpmn2;graph cohesion;0.008805468347394584
Relationship;mbpmn;number of modules;7
Relationship;mbpmn;number of nodes;50
Relationship;mbpmn;number of edges;124
Relationship;mbpmn;hypergraph size;290.7224256251957
Relationship;mbpmn;hypergraph complexity;455.0294131299263
Relationship;mbpmn;inter module coupling;74.26519356679611
Relationship;mbpmn;graph cohesion;0.031942202372939904
Rendering;org.eclipse.bpmn2;number of modules;5
Rendering;org.eclipse.bpmn2;number of nodes;176
Rendering;org.eclipse.bpmn2;number of edges;458
Rendering;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
Rendering;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
Rendering;org.eclipse.bpmn2;inter module coupling;52.42442878004087
Rendering;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
Rendering;mbpmn;number of modules;11
Rendering;mbpmn;number of nodes;72
Rendering;mbpmn;number of edges;163
Rendering;mbpmn;hypergraph size;453.2900956909133
Rendering;mbpmn;hypergraph complexity;743.0666413399139
Rendering;mbpmn;inter module coupling;209.8931499149923
Rendering;mbpmn;graph cohesion;0.0230883653587525
ResourceAssignmentExpression;org.eclipse.bpmn2;number of modules;5
ResourceAssignmentExpression;org.eclipse.bpmn2;number of nodes;176
ResourceAssignmentExpression;org.eclipse.bpmn2;number of edges;458
ResourceAssignmentExpression;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ResourceAssignmentExpression;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454603
ResourceAssignmentExpression;org.eclipse.bpmn2;inter module coupling;52.42442878004087
ResourceAssignmentExpression;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
ResourceAssignmentExpression;mbpmn;number of modules;8
ResourceAssignmentExpression;mbpmn;number of nodes;33
ResourceAssignmentExpression;mbpmn;number of edges;60
ResourceAssignmentExpression;mbpmn;hypergraph size;174.39562257612886
ResourceAssignmentExpression;mbpmn;hypergraph complexity;269.41575216856404
ResourceAssignmentExpression;mbpmn;inter module coupling;53.79843643469508
ResourceAssignmentExpression;mbpmn;graph cohesion;0.04827668338746506
RootElement;org.eclipse.bpmn2;number of modules;5
RootElement;org.eclipse.bpmn2;number of nodes;176
RootElement;org.eclipse.bpmn2;number of edges;458
RootElement;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
RootElement;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454598
RootElement;org.eclipse.bpmn2;inter module coupling;52.42442878004087
RootElement;org.eclipse.bpmn2;graph cohesion;0.008805468347394584
RootElement;mbpmn;number of modules;5
RootElement;mbpmn;number of nodes;24
RootElement;mbpmn;number of edges;46
RootElement;mbpmn;hypergraph size;117.5109929535273
RootElement;mbpmn;hypergraph complexity;206.7899573688823
RootElement;mbpmn;inter module coupling;41.34524863080341
RootElement;mbpmn;graph cohesion;0.07651086494730074
SequenceFlow;org.eclipse.bpmn2;number of modules;5
SequenceFlow;org.eclipse.bpmn2;number of nodes;176
SequenceFlow;org.eclipse.bpmn2;number of edges;458
SequenceFlow;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
SequenceFlow;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
SequenceFlow;org.eclipse.bpmn2;inter module coupling;52.42442878004087
SequenceFlow;org.eclipse.bpmn2;graph cohesion;0.008805468347394584
SequenceFlow;mbpmn;number of modules;6
SequenceFlow;mbpmn;number of nodes;29
SequenceFlow;mbpmn;number of edges;57
SequenceFlow;mbpmn;hypergraph size;148.62588931160627
SequenceFlow;mbpmn;hypergraph complexity;247.9010980253954
SequenceFlow;mbpmn;inter module coupling;47.787206218463126
SequenceFlow;mbpmn;graph cohesion;0.05956977404657814
