Mode;Model;Resource;Metamodel;Util
Full;5._Selbstbedienungsrestaurant_f65c8daf16aa41999a24ad6339e1ec8a.bpmn;5._Selbstbedienungsrestaurant_f65c8daf16aa41999a24ad6339e1ec8a.bpmn;mbpmn;0.5376344086021505
Full;50;50.bpmn;org.eclipse.bpmn2;0.34615384615384615
Full;50;50.bpmn;mbpmn;0.5789473684210527
Full;51;51.bpmn;org.eclipse.bpmn2;0.3525641025641026
Full;51;51.bpmn;mbpmn;0.5894736842105263
Full;52;52.bpmn;org.eclipse.bpmn2;0.34615384615384615
Full;52;52.bpmn;mbpmn;0.5789473684210527
Full;53;53.bpmn;org.eclipse.bpmn2;0.36538461538461536
Full;53;53.bpmn;mbpmn;0.5272727272727272
Full;54;54.bpmn;org.eclipse.bpmn2;0.3525641025641026
Full;54;54.bpmn;mbpmn;0.5894736842105263
Full;55;55.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;55;55.bpmn;mbpmn;0.5955056179775281
Full;56;56.bpmn;org.eclipse.bpmn2;0.34615384615384615
Full;56;56.bpmn;mbpmn;0.5789473684210527
Full;57;57.bpmn;org.eclipse.bpmn2;0.34615384615384615
Full;57;57.bpmn;mbpmn;0.5789473684210527
Full;58;58.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;58;58.bpmn;mbpmn;0.5955056179775281
Full;59;59.bpmn;org.eclipse.bpmn2;0.32051282051282054
Full;59;59.bpmn;mbpmn;0.5730337078651685
Full;5_ec7492dcedfd4b7ea8184c2eb3b73e06.bpmn;5_ec7492dcedfd4b7ea8184c2eb3b73e06.bpmn;org.eclipse.bpmn2;0.3076923076923077
Full;5_ec7492dcedfd4b7ea8184c2eb3b73e06.bpmn;5_ec7492dcedfd4b7ea8184c2eb3b73e06.bpmn;mbpmn;0.5268817204301075
Full;6;6.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;6;6.bpmn;mbpmn;0.5510204081632653
Full;60;60.bpmn;org.eclipse.bpmn2;0.3525641025641026
Full;60;60.bpmn;mbpmn;0.5384615384615384
Full;61;61.bpmn;org.eclipse.bpmn2;0.36538461538461536
Full;61;61.bpmn;mbpmn;0.5918367346938775
Full;62;62.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;62;62.bpmn;mbpmn;0.5955056179775281
Full;63;63.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;63;63.bpmn;mbpmn;0.5955056179775281
Full;64;64.bpmn;org.eclipse.bpmn2;0.34615384615384615
Full;64;64.bpmn;mbpmn;0.5789473684210527
Full;65;65.bpmn;org.eclipse.bpmn2;0.36538461538461536
Full;65;65.bpmn;mbpmn;0.5272727272727272
Full;66;66.bpmn;org.eclipse.bpmn2;0.34615384615384615
Full;66;66.bpmn;mbpmn;0.5789473684210527
Full;67;67.bpmn;org.eclipse.bpmn2;0.36538461538461536
Full;67;67.bpmn;mbpmn;0.5918367346938775
Full;6_3b62a82015a44b41a0b39cf85d6fa9c0.bpmn;6_3b62a82015a44b41a0b39cf85d6fa9c0.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;6_3b62a82015a44b41a0b39cf85d6fa9c0.bpmn;6_3b62a82015a44b41a0b39cf85d6fa9c0.bpmn;mbpmn;0.5684210526315789
Full;7;7.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;7;7.bpmn;mbpmn;0.5510204081632653
Full;7-Schufascoring_ff8f009b0114494894845b8a721d956d.bpmn;7-Schufascoring_ff8f009b0114494894845b8a721d956d.bpmn;org.eclipse.bpmn2;0.3141025641025641
Full;7-Schufascoring_ff8f009b0114494894845b8a721d956d.bpmn;7-Schufascoring_ff8f009b0114494894845b8a721d956d.bpmn;mbpmn;0.5376344086021505
Full;7.__bung_Schufascoring_2412bb6ac495488687185c74dcdcaf90.bpmn;7.__bung_Schufascoring_2412bb6ac495488687185c74dcdcaf90.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;7.__bung_Schufascoring_2412bb6ac495488687185c74dcdcaf90.bpmn;7.__bung_Schufascoring_2412bb6ac495488687185c74dcdcaf90.bpmn;mbpmn;0.5578947368421052
Full;74;74.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;74;74.bpmn;mbpmn;0.4778761061946903
Full;75;75.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;75;75.bpmn;mbpmn;0.4778761061946903
Full;76;76.bpmn;org.eclipse.bpmn2;0.3076923076923077
Full;76;76.bpmn;mbpmn;0.5268817204301075
Full;77;77.bpmn;org.eclipse.bpmn2;0.40384615384615385
Full;77;77.bpmn;mbpmn;0.5517241379310345
Full;78;78.bpmn;org.eclipse.bpmn2;0.391025641025641
Full;78;78.bpmn;mbpmn;0.5486725663716814
Full;79;79.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;79;79.bpmn;mbpmn;0.5353535353535354
Full;8;8.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;8;8.bpmn;mbpmn;0.5510204081632653
Full;8-SB-Restaurant_50db89bd483140b893e94689c43adc28.bpmn;8-SB-Restaurant_50db89bd483140b893e94689c43adc28.bpmn;org.eclipse.bpmn2;0.3269230769230769
Full;8-SB-Restaurant_50db89bd483140b893e94689c43adc28.bpmn;8-SB-Restaurant_50db89bd483140b893e94689c43adc28.bpmn;mbpmn;0.5842696629213483
Full;8.__bung_Selbstbedienungsrestaurant_ee3d9b9c56d0402393fa2c4b64cd45bd.bpmn;8.__bung_Selbstbedienungsrestaurant_ee3d9b9c56d0402393fa2c4b64cd45bd.bpmn;org.eclipse.bpmn2;0.3076923076923077
Full;8.__bung_Selbstbedienungsrestaurant_ee3d9b9c56d0402393fa2c4b64cd45bd.bpmn;8.__bung_Selbstbedienungsrestaurant_ee3d9b9c56d0402393fa2c4b64cd45bd.bpmn;mbpmn;0.5268817204301075
Full;80;80.bpmn;org.eclipse.bpmn2;0.34615384615384615
Full;80;80.bpmn;mbpmn;0.5913978494623656
Full;81;81.bpmn;org.eclipse.bpmn2;0.3974358974358974
Full;81;81.bpmn;mbpmn;0.5575221238938053
Full;82;82.bpmn;org.eclipse.bpmn2;0.3974358974358974
Full;82;82.bpmn;mbpmn;0.5575221238938053
