Mode;Model;Resource;Metamodel;Util
Single;activemq_acdc;ActiveMQBytesMessageTest.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;ActiveMQBytesMessageTest.usagemodel;mPCM;0.3018867924528302
Single;activemq_acdc;ActiveMQDestinationTest.usagemodel;PCM;0.08374384236453201
Single;activemq_acdc;ActiveMQDestinationTest.usagemodel;mPCM;0.32075471698113206
Single;activemq_acdc;ActiveMQInitialContextFactoryTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;ActiveMQInitialContextFactoryTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;ActiveMQMapMessageReaderTest.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;ActiveMQMapMessageReaderTest.usagemodel;mPCM;0.3018867924528302
Single;activemq_acdc;ActiveMQMapMessageTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;ActiveMQMapMessageTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;ActiveMQMessageAuditTest.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;ActiveMQMessageAuditTest.usagemodel;mPCM;0.3018867924528302
Single;activemq_acdc;ActiveMQMessageReaderTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;ActiveMQMessageReaderTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;ActiveMQMessageTest.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;ActiveMQMessageTest.usagemodel;mPCM;0.3018867924528302
Single;activemq_acdc;ActiveMQObjectMessageReaderTest.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;ActiveMQObjectMessageReaderTest.usagemodel;mPCM;0.3018867924528302
Single;activemq_acdc;ActiveMQObjectMessageTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;ActiveMQObjectMessageTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;ActiveMQResourceAdapterJavaBeanEqualityTest.usagemodel;PCM;0.06896551724137931
Single;activemq_acdc;ActiveMQResourceAdapterJavaBeanEqualityTest.usagemodel;mPCM;0.2641509433962264
Single;activemq_acdc;ActiveMQStreamMessageReaderTest.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;ActiveMQStreamMessageReaderTest.usagemodel;mPCM;0.3018867924528302
Single;activemq_acdc;ActiveMQStreamMessageTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;ActiveMQStreamMessageTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;ActiveMQTextMessageReaderTest.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;ActiveMQTextMessageReaderTest.usagemodel;mPCM;0.3018867924528302
Single;activemq_acdc;ActiveMQTextMessageTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;ActiveMQTextMessageTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;ActiveMQXidTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;ActiveMQXidTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;AdminObjectTest.usagemodel;PCM;0.06896551724137931
Single;activemq_acdc;AdminObjectTest.usagemodel;mPCM;0.2641509433962264
Single;activemq_acdc;AdvisorySupportTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;AdvisorySupportTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;AsyncProxyTest.usagemodel;PCM;0.06896551724137931
Single;activemq_acdc;AsyncProxyTest.usagemodel;mPCM;0.2641509433962264
Single;activemq_acdc;AvailableConsumerTest.usagemodel;PCM;0.06896551724137931
Single;activemq_acdc;AvailableConsumerTest.usagemodel;mPCM;0.2641509433962264
Single;activemq_acdc;BasicCapacityMonitorTest.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;BasicCapacityMonitorTest.usagemodel;mPCM;0.3018867924528302
Single;activemq_acdc;BecksNetworkTest.usagemodel;PCM;0.06403940886699508
Single;activemq_acdc;BecksNetworkTest.usagemodel;mPCM;0.24528301886792453
Single;activemq_acdc;BitArrayBinTest.usagemodel;PCM;0.08866995073891626
Single;activemq_acdc;BitArrayBinTest.usagemodel;mPCM;0.33962264150943394
Single;activemq_acdc;BitArrayTest.usagemodel;PCM;0.08866995073891626
Single;activemq_acdc;BitArrayTest.usagemodel;mPCM;0.33962264150943394
Single;activemq_acdc;BoundaryStatisticTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;BoundaryStatisticTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;BoundedRangeStatisticTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;BoundedRangeStatisticTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;BrokerAdminCommandsTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;BrokerAdminCommandsTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;BrokerAdminTest.usagemodel;PCM;0.07389162561576355
Single;activemq_acdc;BrokerAdminTest.usagemodel;mPCM;0.2830188679245283
Single;activemq_acdc;ByteArrayCompressionTest.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;ByteArrayCompressionTest.usagemodel;mPCM;0.3018867924528302
